kabupaten_id,bencana_id,tanggal,korban_meninggal,korban_hilang,korban_luka,korban_mengungsi
1213,1,1/12/2012,0,0,0,0
1213,1,27/12/2011,0,0,0,0
1213,1,14/9/2011,0,0,0,0
1213,1,19/5/2011,3,1,0,0
1213,1,1/1/2011,0,0,0,0
1214,1,29/12/2012,2,0,0,1300
1214,1,9/11/2012,1,0,3,70
1215,1,1/10/2012,0,0,0,0
1216,1,1/1/2013,0,0,0,0
1217,1,26/10/2012,0,0,0,0
1217,1,26/4/2011,0,0,0,0
1218,1,16/12/2015,0,0,0,20
1218,1,9/12/2015,0,0,0,0
1218,1,16/12/2014,0,0,0,0
1218,1,29/12/2013,0,0,0,0
1218,1,20/10/2013,0,0,0,0
1218,1,4/11/2012,1,0,0,4554
1218,1,1/8/2012,0,0,0,0
1218,1,1/3/2012,0,0,0,0
1219,1,1/1/2013,0,0,0,0
1219,1,1/11/2012,0,0,0,0
1219,1,1/5/2012,0,0,0,0
1220,1,23/12/2011,0,0,0,0
1221,1,21/10/2012,0,0,0,85
1222,1,8/5/2014,0,0,0,0
1222,1,1/1/2013,0,0,0,0
1222,1,1/11/2012,0,0,0,0
1223,1,8/1/2015,0,0,0,0
1223,1,2/1/2014,0,0,0,0
1223,1,1/1/2013,0,0,0,0
1223,1,11/7/2012,0,0,0,0
1225,1,15/9/2015,0,0,0,0
1225,1,29/12/2012,0,0,0,0
1273,1,20/5/2015,0,0,0,0
1273,1,26/8/2012,0,0,0,0
1273,1,4/7/2012,0,0,0,0
1273,1,1/4/2011,0,0,0,0
1274,1,12/1/2015,0,0,0,0
1274,1,19/10/2013,0,0,0,6000
1274,1,29/1/2013,0,0,0,0
1274,1,22/9/2012,0,0,0,0
1274,1,1/2/2012,0,0,0,0
1274,1,19/12/2011,0,0,0,0
1274,1,18/12/2011,0,0,0,0
1274,1,5/11/2011,0,0,0,0
1275,1,19/9/2016,0,0,0,0
1275,1,8/2/2016,0,0,0,250
1275,1,25/11/2015,0,0,0,0
1275,1,19/10/2015,0,0,0,450
1275,1,12/9/2015,0,0,0,0
1275,1,10/1/2015,0,0,0,0
1275,1,18/12/2014,0,0,0,4375
1275,1,4/10/2014,0,0,0,0
1275,1,28/10/2013,0,0,0,0
1275,1,26/10/2013,0,0,0,0
1275,1,20/10/2013,0,0,0,0
1275,1,10/6/2013,0,0,0,0
1275,1,4/1/2013,0,0,0,0
1275,1,16/5/2012,0,0,0,0
1275,1,12/11/2011,0,0,0,0
1275,1,5/9/2011,0,0,0,0
1275,1,16/6/2011,0,0,0,0
1275,1,13/6/2011,0,0,0,0
1275,1,1/4/2011,0,0,0,20
1275,1,1/3/2011,0,0,0,250
1275,1,5/1/2011,4,0,0,0
1275,1,2/1/2011,0,0,0,0
1276,1,8/2/2016,0,0,0,0
1276,1,25/11/2015,0,0,0,0
1276,1,11/11/2015,0,0,0,0
1276,1,12/9/2015,0,0,0,0
1276,1,11/8/2015,0,0,0,0
1276,1,8/2/2015,0,0,0,500
1276,1,29/10/2014,0,0,0,0
1276,1,3/10/2014,0,0,0,0
1276,1,21/8/2014,0,0,0,0
1276,1,8/10/2013,0,0,0,0
1276,1,1/4/2011,0,0,0,0
1276,1,2/1/2011,0,0,0,0
1301,1,23/12/2014,0,0,0,165
1301,1,26/11/2014,0,0,0,0
1301,1,7/4/2013,0,0,0,7000
1302,1,2/6/2016,0,0,0,72
1302,1,1/3/2015,0,0,0,300
1302,1,23/1/2015,2,0,0,7836
1302,1,29/12/2013,2,0,4,7644
1302,1,1/11/2012,0,0,0,0
1302,1,27/10/2012,0,0,0,0
1302,1,3/11/2011,4,2,1,52
